Event Index,UTC Timestamp,UTC Date,Post Processed,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,sound,hc_ans,sound_nc_1,sound_nc_3,sound_nc_2,sound_c_1,sound_c_2,sound_c_3,progress,answer
1,1511014022487,18/11/2017 14:07:02,,1511014331282,-5,18/11/2017 09:12:11,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1511014034229,18/11/2017 14:07:14,,1511014343013,-5,18/11/2017 09:12:23,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,1,1,Screen 1,Zone2,continue_button,11666.560000000001,,,0,1,0,,,,rt_test_v1,,,instructions,,,,,,,,,,
3,1511014055680,18/11/2017 14:07:35,,1511014364476,-5,18/11/2017 09:12:44,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,1,1,Screen 1,Zone3,continue_button,21412.795,,,0,1,0,,,,rt_test_v1,,,volume_calibration,LS_4898_20016_0030_SWT_LS_4898_28461_0032_tChange_5630_ms.wav,,,,,,,,,
4,1511014056209,18/11/2017 14:07:36,,1511014365013,-5,18/11/2017 09:12:45,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,1,1,Screen 2,fixation,fixation,549.8073273146729,,,0,1,0,,,,rt_test_v1,,,headphone_check,antiphase_HC_IOS.mp3,3,,,,,,,,
5,1511014064136,18/11/2017 14:07:44,,1511014372940,-5,18/11/2017 09:12:52,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,1,2,Screen 1,Zone3,response_rating_scale_likert_active,7904.18,3,1,1,0,0,,,,rt_test_v1,,,headphone_check,antiphase_HC_IOS.mp3,3,,,,,,,,
6,1511014064692,18/11/2017 14:07:44,,1511014373493,-5,18/11/2017 09:12:53,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,2,1,Screen 2,fixation,fixation,566.5583764649855,,,0,1,0,,,,rt_test_v1,,,headphone_check,antiphase_HC_ISO.mp3,2,,,,,,,,
7,1511014071933,18/11/2017 14:07:51,,1511014380740,-5,18/11/2017 09:13:00,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,2,2,Screen 1,Zone3,response_rating_scale_likert_active,7224.9100000000035,2,1,1,0,0,,,,rt_test_v1,,,headphone_check,antiphase_HC_ISO.mp3,2,,,,,,,,
8,1511014072465,18/11/2017 14:07:52,,1511014381273,-5,18/11/2017 09:13:01,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,3,1,Screen 2,fixation,fixation,549.7533235795927,,,0,1,0,,,,rt_test_v1,,,headphone_check,antiphase_HC_OIS.mp3,3,,,,,,,,
9,1511014077778,18/11/2017 14:07:57,,1511014386562,-5,18/11/2017 09:13:06,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,3,2,Screen 1,Zone3,response_rating_scale_likert_active,5267.584999999999,3,1,1,0,0,,,,rt_test_v1,,,headphone_check,antiphase_HC_OIS.mp3,3,,,,,,,,
10,1511014100560,18/11/2017 14:08:20,,1511014409264,-5,18/11/2017 09:13:29,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,1,1,Screen 1,Zone2,continue_button,22662.49500000001,,,0,1,0,,,,rt_test_v1,,,rt_noise,noise_tone_F0_500_Hz_1_tChange_3834.wav,,,,,,,,,
