Event Index,UTC Timestamp,UTC Date,Post Processed,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,sound,hc_ans,sound_nc_1,sound_nc_3,sound_nc_2,sound_c_1,sound_c_2,sound_c_3,progress,answer
1,1517208976476,29/01/2018 06:56:16,,1517209109084,5,29/01/2018 11:58:29,2349,5,task-o4po,,1144782,cmu_01,253766,,live,,,computer,Desktop or Laptop,Mac OS 10.12.2,Chrome 63.0.3239.132,1280x800,1280x699,,RT_test,7,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1517208996214,29/01/2018 06:56:36,,1517209128137,5,29/01/2018 11:58:48,2349,5,task-o4po,,1144782,cmu_01,253766,,live,,,computer,Desktop or Laptop,Mac OS 10.12.2,Chrome 63.0.3239.132,1280x800,1280x699,,RT_test,7,1,1,Screen 1,Zone2,continue_button,18931.020000000004,,,0,1,0,,,,rt_test_v2,,,instructions,,,,,,,,,,
3,1517209011826,29/01/2018 06:56:51,,1517209145207,5,29/01/2018 11:59:05,2349,5,task-o4po,,1144782,cmu_01,253766,,live,,,computer,Desktop or Laptop,Mac OS 10.12.2,Chrome 63.0.3239.132,1280x800,1280x699,,RT_test,7,1,1,Screen 1,Zone3,continue_button,17049.145,,,0,1,0,,,,rt_test_v2,,,volume_calibration,LS_4898_20016_0022_SWT_LS_4898_28461_0044_tChange_5997_ms.wav,,,,,,,,,
4,1517209012272,29/01/2018 06:56:52,,1517209145736,5,29/01/2018 11:59:05,2349,5,task-o4po,,1144782,cmu_01,253766,,live,,,computer,Desktop or Laptop,Mac OS 10.12.2,Chrome 63.0.3239.132,1280x800,1280x699,,RT_test,7,1,1,Screen 2,fixation,fixation,533.5680000134744,,,0,1,0,,,,rt_test_v2,,,headphone_check,antiphase_HC_IOS.mp3,3,,,,,,,,
5,1517209031900,29/01/2018 06:57:11,,1517209163122,5,29/01/2018 11:59:23,2349,5,task-o4po,,1144782,cmu_01,253766,,live,,,computer,Desktop or Laptop,Mac OS 10.12.2,Chrome 63.0.3239.132,1280x800,1280x699,,RT_test,7,1,2,Screen 1,Zone3,response_rating_scale_likert_active,17378.695000000007,3,1,1,0,0,,,,rt_test_v2,,,headphone_check,antiphase_HC_IOS.mp3,3,,,,,,,,
6,1517209030300,29/01/2018 06:57:10,,1517209163640,5,29/01/2018 11:59:23,2349,5,task-o4po,,1144782,cmu_01,253766,,live,,,computer,Desktop or Laptop,Mac OS 10.12.2,Chrome 63.0.3239.132,1280x800,1280x699,,RT_test,7,2,1,Screen 2,fixation,fixation,533.5679999843705,,,0,1,0,,,,rt_test_v2,,,headphone_check,antiphase_HC_ISO.mp3,2,,,,,,,,
7,1517209042962,29/01/2018 06:57:22,,1517209175884,5,29/01/2018 11:59:35,2349,5,task-o4po,,1144782,cmu_01,253766,,live,,,computer,Desktop or Laptop,Mac OS 10.12.2,Chrome 63.0.3239.132,1280x800,1280x699,,RT_test,7,2,2,Screen 1,Zone3,response_rating_scale_likert_active,12233.435000000005,2,1,1,0,0,,,,rt_test_v2,,,headphone_check,antiphase_HC_ISO.mp3,2,,,,,,,,
8,1517209042932,29/01/2018 06:57:22,,1517209176401,5,29/01/2018 11:59:36,2349,5,task-o4po,,1144782,cmu_01,253766,,live,,,computer,Desktop or Laptop,Mac OS 10.12.2,Chrome 63.0.3239.132,1280x800,1280x699,,RT_test,7,3,1,Screen 2,fixation,fixation,533.5679999843705,,,0,1,0,,,,rt_test_v2,,,headphone_check,antiphase_HC_OIS.mp3,3,,,,,,,,
9,1517209054167,29/01/2018 06:57:34,,1517209186031,5,29/01/2018 11:59:46,2349,5,task-o4po,,1144782,cmu_01,253766,,live,,,computer,Desktop or Laptop,Mac OS 10.12.2,Chrome 63.0.3239.132,1280x800,1280x699,,RT_test,7,3,2,Screen 1,Zone3,response_rating_scale_likert_active,9621.494999999995,3,1,1,0,0,,,,rt_test_v2,,,headphone_check,antiphase_HC_OIS.mp3,3,,,,,,,,
10,1517209077819,29/01/2018 06:57:57,,1517209211292,5,29/01/2018 12:00:11,2349,5,task-o4po,,1144782,cmu_01,253766,,live,,,computer,Desktop or Laptop,Mac OS 10.12.2,Chrome 63.0.3239.132,1280x800,1280x699,,RT_test,7,1,1,Screen 1,Zone2,continue_button,25243.270000000004,,,0,1,0,,,,rt_test_v2,,,rt_noise,noise_tone_F0_500_Hz_3_tChange_4632.wav,,,,,,,,,
